Name account,Sentiment,Vader,Textblob,Retweet
biden4pres,0,0,0.4,0
biden4pres,0,-0.1779,-0.1556,0
biden4pres,0,0.4939,0.5,0
biden4pres,0,0,0.2,0
biden4pres,0,-0.5574,-0.2,0
biden4pres,-1,-0.5719,-0.8,0
biden4pres,0,-0.5267,0,0
biden4pres,0,0,0,0
biden4pres,0,0,0,0
biden4pres,0,0.5574,0.3386,137
biden4pres,0,0.4215,0.6,0
biden4pres,0,-0.3182,-1,0
biden4pres,0,0.34,-0.4,0
biden4pres,0,0,0,0
biden4pres,0,-0.3586,0,0
biden4pres,0,0.4391,0.13,2
biden4pres,0,-0.886,0,62
biden4pres,0,0,0,0
biden4pres,2,0.5719,0,0
biden4pres,0,0,0,0
biden4pres,0,-0.1235,0,0
biden4pres,-1,0.2425,0.35,113
biden4pres,0,0,0,0
biden4pres,0,0,0,0
biden4pres,0,0.5267,0,0
biden4pres,0,0.5423,0.1351,1
biden4pres,0,0,0.5,0
biden4pres,0,-0.1779,-0.5,0
biden4pres,0,0,0,0
biden4pres,0,0.2263,0.35,0
biden4pres,0,-0.5423,0,332
biden4pres,0,0,0,0
biden4pres,0,0,0.0333,0
biden4pres,0,0,0.2,0
biden4pres,1,0.3612,0,0
biden4pres,-1,-0.7003,-0.4639,0
biden4pres,0,0.7184,0,46
biden4pres,0,0,0,0
biden4pres,0,0,0,0
biden4pres,0,0,0,0
biden4pres,0,0.296,0.1352,0
biden4pres,0,0,0,0
biden4pres,-2,-0.3252,0,40
biden4pres,0,-0.4019,0.1364,0
biden4pres,0,0,0,0
biden4pres,1,0.4927,0.535,16
biden4pres,0,0.6486,0.5,57
biden4pres,0,0,0,252
biden4pres,-1,0.1531,-0.0625,71
biden4pres,0,0,0,0
biden4pres,0,0,0,0
biden4pres,0,0,0,0
biden4pres,0,0,0,0
biden4pres,0,0,0,0
biden4pres,-2,-0.3412,0,101
biden4pres,0,0,0.2,0
biden4pres,0,0.25,0,1
biden4pres,0,0.3182,0.5,0
biden4pres,0,-0.8225,-0.3,40
biden4pres,0,-0.6249,0,0
biden4pres,0,0.4939,0,8
biden4pres,-2,-0.3252,0,40
biden4pres,-1,-0.0516,0,142
biden4pres,0,0.6213,0.4,0
biden4pres,0,0.3818,0,0
biden4pres,0,-0.5267,0.05,0
biden4pres,0,0,0,68
biden4pres,0,0,0,1
biden4pres,0,0,0,2
POTUS,0,0.5574,0.0292,2171
POTUS,0,0.872,0.1833,1081
POTUS,0,0.4404,0.25,465
POTUS,0,0.25,0.3,5481
POTUS,0,0.743,0.2167,1900
POTUS,1,0.886,0.3214,2998
POTUS,1,0.5574,0.0682,1460
POTUS,0,0.4118,0.2333,7246
